episode,title,guest_name,guest_photo_url,episode_url,category,duration,description,spotify_embed,spotify_url,apple_url
1,The Journey & Experiences of being a Lawyer with Gary Bennett,Gary Bennett,https://drive.google.com/thumbnail?id=1alFauJVPuKe9ZFP8oDDwy2uWVm6bO5Hq&sz=w400,https://www.dominatelaw.com/the-journey-experiences-of-being-a-lawyer-with-gary-bennett/,Law Practice,,,,,
2,Using your Passion to Help People get Justice with James DeSimone,James DeSimone,https://drive.google.com/thumbnail?id=1EuRMXUMN5f9Frh7dEB0sfiQc4aJna4Tz&sz=w400,https://www.dominatelaw.com/using-your-passion-to-help-people-get-justice-with-james-desimone/,Justice & Purpose,,,,,
3,The nuts and bolts of how to build and grow a Law Practice with Gary Bennett,Gary Bennett,https://drive.google.com/thumbnail?id=1alFauJVPuKe9ZFP8oDDwy2uWVm6bO5Hq&sz=w400,https://www.dominatelaw.com/the-nuts-and-bolts-of-how-to-build-and-grow-a-law-practice-with-gary-bennett/,Business Growth,,,,,
4,The Business side of a Law Firm with Larry Organ,Larry Organ,https://drive.google.com/thumbnail?id=1IuuxjkytuUNU2TnQ4nmzvXQsgNaF-82z&sz=w400,https://www.dominatelaw.com/the-business-side-of-a-law-firm-with-larry-organ/,Business & Finance,,,,,
5,Be the voice for those who need justice with Marilynn Mika Spencer,Marilynn Mika Spencer,https://drive.google.com/thumbnail?id=1HlipyUP8uQIzrLN5rbla-w9nnZVY8Mu1&sz=w400,https://www.dominatelaw.com/be-the-voice-for-those-who-need-justice-with-marilynn-mika-spencer/,Justice & Purpose,,,,,
6,Mexican Law across the World with Oscar Valdez,Oscar Valdez,https://drive.google.com/thumbnail?id=1uAwzIngEgaV1U10hf33ALDVbCRvZZ4Gc&sz=w400,https://www.dominatelaw.com/mexican-law-across-the-world-with-oscar-valdez/,International Law,,,,,
7,The Importance of Specialization in your Law Firm with Dan Minutillo,Dan Minutillo,https://drive.google.com/thumbnail?id=1e-g3hfIAKMa-MBbTbcDs1lCpq7zq0byZ&sz=w400,https://www.dominatelaw.com/the-importance-of-specialization-in-your-law-firm-with-dan-minutillo/,Practice Management,,,,,
8,Serving your Community Ethically and Compassionately with Mary Ann Escalante,Mary Ann Escalante,https://drive.google.com/thumbnail?id=1LtSuvp-025NU7o0kKp14LwOBqH4bLitV&sz=w400,https://www.dominatelaw.com/serving-your-community-ethically-and-compassionately-with-mary-ann-escalante/,Ethics & Community,,,,,
9,Finding Peace Meaning and Integrity as a Lawyer in today's Society with Joy Bertrand,Joy Bertrand,https://drive.google.com/thumbnail?id=1gJ5805-kIpkC9Fnu7rQXZ9lY0cXQU5xa&sz=w400,https://www.dominatelaw.com/finding-peace-meaning-and-integrity-as-a-lawyer-in-todays-society-with-joy-bertrand/,Wellness & Integrity,,,,,
10,How to build relationships in the digital age with Mitch Jackson,Mitch Jackson,https://drive.google.com/thumbnail?id=1RZKg4NaXcqTIHS69JAYX-8SkyyxEZx5D&sz=w400,https://www.dominatelaw.com/how-to-build-relationships-in-the-digital-age-with-mitch-jackson/,Marketing & Digital,,,,,
11,Mindfulness: How it's linked to a lawyer's well-being and why lawyers should practice it with Jeena Cho,Jeena Cho,https://drive.google.com/thumbnail?id=1-eGlbnpTP3X7SSO_vJqEx_U8o4TOxox1&sz=w400,https://www.dominatelaw.com/mindfulness-how-its-linked-to-a-lawyers-well-being-and-why-lawyers-should-practice-it-with-jeena-cho/,Attorney Wellness,,,,,
12,Making Time Personally and Professionally with Lisa Maki,Lisa Maki,https://drive.google.com/thumbnail?id=1miQxkGj5BsCqwO8eaKPQV1l8XJOr0y3m&sz=w400,https://www.dominatelaw.com/making-time-personally-and-professionally-with-lisa-maki/,Work-Life Balance,,,,,
13,The purpose & impacts of being a divorce lawyer with Kelly Chang Rickert,Kelly Chang Rickert,https://drive.google.com/thumbnail?id=1H5g5HoN3nBFz-r4z2cG9CKyxwR7-Zvpj&sz=w400,https://www.dominatelaw.com/the-purpose-impacts-of-being-a-divorce-lawyer-with-kelly-chang-rickert/,Family Law,,,,,
14,Making time and putting yourself first with Ilya Elena Lerma,Ilya Elena Lerma,https://drive.google.com/thumbnail?id=1ZtaitSAnykN5x_9UaiFkgDceAez8SXVY&sz=w400,https://www.dominatelaw.com/making-time-and-putting-yourself-first-with-ilya-elena-lerma/,Work-Life Balance,,,,,
15,Entrepreneurship and leadership as a lawyer with Somya Kaushik,Somya Kaushik,https://drive.google.com/thumbnail?id=1lDAfS8m-2lT-Hn_KqeVkr9_cDVb3KnnZ&sz=w400,https://www.dominatelaw.com/entrepreneurship-and-leadership-as-a-lawyer-with-somya-kaushik/,Entrepreneurship,,,,,
16,Always look from the other perspective & provide value in the work you do with Daniel Forouzan,Daniel Forouzan,https://drive.google.com/thumbnail?id=1hFvALKaU8z1HtbPdMOOkxgfWWWXBHzW1&sz=w400,https://www.dominatelaw.com/always-look-from-the-other-prospective-provide-value-in-the-work-you-do-with-daniel-forouzan/,Client Relations,,,,,
17,Working with Gen Y clients with Karima Gulick,Karima Gulick,https://drive.google.com/thumbnail?id=1HcHLZaB3zKNgfpv48ru6gl-ootOHQKMx&sz=w400,https://www.dominatelaw.com/working-with-gen-y-clients-with-karima-gulick/,Client Relations,,,,,
18,Pursuing your passions and carving your own path with Joey Vitale,Joey Vitale,https://drive.google.com/thumbnail?id=1RXtAwuo0lDevLjBMNSKZnP5Wrc4qbIRI&sz=w400,https://www.dominatelaw.com/pursuing-your-passions-and-carving-your-own-path-with-joey-vitale/,Entrepreneurship,,,,,
19,My journey to finding happiness in the area of law with Nicole Abboud,Nicole Abboud,https://drive.google.com/thumbnail?id=1rly_9mkukPzfwyTH3TdX06dEIjyDYp8V&sz=w400,https://www.dominatelaw.com/my-journey-to-finding-happiness-in-the-area-of-law-with-nicole-abboud/,Attorney Wellness,,,,,
20,Preparing Clients for a Better Deposition in the Courtroom,Alan Fanger,https://drive.google.com/thumbnail?id=1PQe5oF1jTak-2iGgMOI8hpVneti37YFA&sz=w400,https://www.dominatelaw.com/preparing-clients-for-a-better-deposition-in-the-courtroom-with-alan-fanger/,Trial Skills,,,,,
